#const numOfAtoms = 60.
atoms(1..60).
clauses(1..240).
neg(1,13).neg(1,41).pos(1,60).
neg(78,55).neg(78,36).pos(78,13).
pos(79,3).neg(79,32).neg(79,22).
neg(80,29).neg(80,6).pos(80,48).
pos(81,19).neg(81,20).neg(81,13).
pos(82,51).pos(82,59).neg(82,41).
pos(83,54).neg(83,19).pos(83,41).
neg(84,57).pos(84,2).neg(84,10).
neg(85,49).neg(85,31).neg(85,41).
pos(86,42).neg(86,11).neg(86,34).
neg(87,47).pos(87,54).neg(87,3).
pos(88,29).pos(88,33).pos(88,3).
neg(89,29).neg(89,24).pos(89,55).
pos(90,37).neg(90,14).pos(90,42).
pos(91,30).neg(91,35).pos(91,8).
neg(92,7).pos(92,40).pos(92,43).
pos(93,42).pos(93,26).neg(93,7).
pos(94,7).neg(94,12).pos(94,47).
neg(95,54).neg(95,5).neg(95,28).
pos(96,46).pos(96,28).pos(96,8).
pos(97,20).neg(97,25).pos(97,53).
pos(98,46).pos(98,58).pos(98,38).
neg(99,4).pos(99,14).neg(99,31).
neg(100,12).neg(100,18).neg(100,47).
neg(101,3).neg(101,33).neg(101,26).
pos(102,16).pos(102,34).neg(102,57).
neg(103,41).neg(103,31).neg(103,7).
neg(104,47).pos(104,23).pos(104,28).
pos(105,27).neg(105,47).neg(105,15).
pos(106,52).neg(106,50).neg(106,14).
pos(107,24).neg(107,56).neg(107,54).
neg(108,60).neg(108,15).neg(108,23).
neg(109,56).neg(109,4).pos(109,7).
neg(110,56).neg(110,55).neg(110,5).
neg(111,9).pos(111,38).pos(111,3).
pos(112,28).pos(112,16).pos(112,46).
neg(113,2).neg(113,6).neg(113,5).
neg(114,17).pos(114,57).pos(114,50).
neg(115,6).pos(115,18).neg(115,29).
neg(116,16).neg(116,5).neg(116,10).
neg(117,11).pos(117,50).pos(117,35).
neg(118,18).neg(118,59).neg(118,49).
pos(119,9).neg(119,5).neg(119,28).
pos(120,35).neg(120,54).neg(120,59).
neg(121,56).neg(121,34).pos(121,25).
neg(122,57).pos(122,28).neg(122,8).
pos(123,11).pos(123,48).pos(123,33).
pos(124,13).neg(124,17).pos(124,34).
neg(125,37).neg(125,19).pos(125,13).
neg(126,52).neg(126,56).neg(126,36).
pos(127,57).neg(127,37).pos(127,46).
neg(128,26).pos(128,41).pos(128,27).
neg(129,30).pos(129,3).pos(129,16).
pos(130,4).pos(130,22).neg(130,18).
neg(131,53).neg(131,21).neg(131,16).
neg(132,8).pos(132,44).neg(132,56).
pos(133,23).pos(133,60).pos(133,22).
pos(134,45).neg(134,55).neg(134,17).
pos(135,45).neg(135,6).pos(135,33).
neg(136,20).neg(136,48).pos(136,7).
pos(137,37).neg(137,42).neg(137,10).
neg(138,29).neg(138,19).neg(138,6).
neg(139,57).pos(139,8).neg(139,7).
neg(140,39).pos(140,35).pos(140,10).
neg(141,43).pos(141,12).pos(141,40).
neg(142,20).neg(142,44).pos(142,50).
neg(143,2).neg(143,20).neg(143,12).
neg(144,10).pos(144,46).neg(144,30).
neg(145,52).neg(145,18).neg(145,37).
neg(146,59).pos(146,14).pos(146,27).
neg(147,59).pos(147,4).pos(147,42).
neg(148,41).neg(148,28).pos(148,31).
neg(149,14).neg(149,39).pos(149,25).
pos(150,55).neg(150,19).neg(150,12).
neg(151,2).pos(151,21).pos(151,34).
pos(152,27).neg(152,6).neg(152,5).
pos(153,29).pos(153,18).neg(153,46).
pos(154,43).neg(154,8).pos(154,3).
pos(155,9).neg(155,31).pos(155,53).
neg(156,38).neg(156,20).pos(156,45).
neg(157,46).pos(157,11).pos(157,10).
pos(158,24).neg(158,50).pos(158,41).
pos(159,1).neg(159,46).neg(159,59).
pos(160,7).pos(160,25).neg(160,45).
pos(161,8).pos(161,40).pos(161,41).
neg(162,21).pos(162,36).pos(162,29).
pos(163,31).neg(163,52).pos(163,57).
pos(164,36).neg(164,1).neg(164,12).
pos(165,7).pos(165,25).neg(165,48).
pos(166,6).neg(166,54).pos(166,19).
pos(167,17).pos(167,9).neg(167,52).
pos(168,12).pos(168,19).pos(168,9).
neg(169,11).pos(169,6).neg(169,4).
pos(170,38).pos(170,34).pos(170,23).
neg(171,28).pos(171,7).pos(171,51).
neg(172,33).pos(172,51).pos(172,34).
neg(173,60).neg(173,11).pos(173,2).
neg(174,9).neg(174,60).pos(174,23).
pos(175,20).pos(175,50).neg(175,4).
pos(176,13).pos(176,48).pos(176,53).
pos(177,53).pos(177,43).pos(177,22).
neg(178,30).neg(178,25).pos(178,27).
neg(179,32).neg(179,10).neg(179,42).
neg(180,57).neg(180,58).pos(180,37).
neg(181,14).neg(181,5).neg(181,19).
neg(182,17).pos(182,10).pos(182,55).
pos(183,60).neg(183,23).neg(183,32).
pos(184,59).pos(184,35).neg(184,1).
pos(185,26).pos(185,47).pos(185,48).
neg(186,13).pos(186,42).neg(186,37).
pos(187,43).neg(187,49).neg(187,21).
neg(188,21).neg(188,44).neg(188,27).
neg(189,54).pos(189,49).neg(189,25).
neg(190,56).pos(190,54).neg(190,50).
pos(191,30).neg(191,44).neg(191,22).
pos(192,2).neg(192,30).pos(192,16).
pos(193,16).pos(193,14).pos(193,36).
neg(194,27).neg(194,11).neg(194,57).
pos(195,16).neg(195,9).pos(195,20).
neg(196,7).neg(196,21).pos(196,11).
pos(197,45).neg(197,8).neg(197,27).
neg(198,50).pos(198,25).neg(198,7).
neg(199,18).pos(199,37).pos(199,58).
pos(200,59).pos(200,20).pos(200,42).
pos(201,15).pos(201,27).neg(201,22).
neg(202,22).neg(202,42).pos(202,4).
neg(203,8).neg(203,54).neg(203,58).
pos(204,15).neg(204,58).pos(204,25).
neg(205,27).neg(205,36).pos(205,41).
neg(206,47).neg(206,6).pos(206,20).
neg(207,51).pos(207,22).pos(207,55).
pos(208,28).pos(208,10).pos(208,39).
neg(209,20).pos(209,56).pos(209,49).
neg(210,23).pos(210,19).pos(210,29).
neg(211,6).neg(211,33).pos(211,27).
neg(212,54).neg(212,17).neg(212,27).
pos(213,5).pos(213,29).pos(213,58).
neg(214,27).pos(214,59).pos(214,52).
pos(215,17).neg(215,49).neg(215,45).
neg(216,59).pos(216,8).neg(216,58).
neg(217,39).neg(217,13).neg(217,37).
neg(218,25).pos(218,58).neg(218,56).
neg(219,14).neg(219,31).pos(219,53).
pos(220,60).pos(220,2).neg(220,10).
pos(221,9).pos(221,34).neg(221,25).
pos(222,27).neg(222,28).pos(222,16).
neg(223,35).pos(223,50).neg(223,27).
neg(224,31).neg(224,23).pos(224,15).
pos(225,20).pos(225,51).neg(225,17).
pos(226,22).pos(226,29).pos(226,55).
neg(227,9).neg(227,28).neg(227,47).
pos(228,1).pos(228,30).pos(228,51).
neg(229,36).pos(229,38).pos(229,6).
neg(230,60).neg(230,40).neg(230,57).
neg(231,29).neg(231,8).neg(231,49).
pos(232,53).neg(232,48).pos(232,7).
neg(233,2).neg(233,1).neg(233,31).
pos(234,28).pos(234,16).pos(234,47).
pos(235,59).neg(235,29).pos(235,42).
pos(236,1).neg(236,22).neg(236,3).
pos(237,52).pos(237,53).pos(237,45).
pos(238,14).pos(238,38).neg(238,33).
neg(239,20).neg(239,60).neg(239,40).
pos(240,48).neg(240,53).neg(240,21).
