#const numOfAtoms = 120.
atoms(1..120).
clauses(1..480).
neg(1,35).pos(1,9).neg(1,87).
neg(72,20).pos(72,113).pos(72,105).
pos(73,63).neg(73,65).neg(73,86).
neg(74,40).neg(74,10).neg(74,61).
neg(75,92).neg(75,66).neg(75,52).
neg(76,78).pos(76,79).neg(76,116).
neg(77,65).pos(77,48).neg(77,117).
neg(78,92).pos(78,4).pos(78,120).
neg(79,21).neg(79,67).neg(79,25).
neg(80,105).neg(80,11).neg(80,15).
neg(81,43).neg(81,82).pos(81,9).
pos(82,49).neg(82,73).neg(82,103).
neg(83,44).neg(83,104).pos(83,47).
pos(84,96).pos(84,110).pos(84,50).
neg(85,34).neg(85,113).neg(85,67).
neg(86,97).pos(86,83).neg(86,101).
neg(87,118).pos(87,37).pos(87,117).
pos(88,12).neg(88,76).pos(88,78).
neg(89,89).neg(89,60).pos(89,88).
pos(90,68).pos(90,6).pos(90,36).
neg(91,52).neg(91,6).pos(91,33).
pos(92,58).pos(92,13).neg(92,49).
pos(93,11).neg(93,99).pos(93,38).
neg(94,86).pos(94,24).neg(94,50).
neg(95,95).neg(95,2).pos(95,69).
pos(96,70).neg(96,117).neg(96,12).
pos(97,44).pos(97,73).pos(97,61).
neg(98,71).pos(98,73).pos(98,68).
neg(99,5).pos(99,72).neg(99,52).
pos(100,15).neg(100,26).neg(100,37).
neg(101,73).neg(101,45).pos(101,61).
neg(102,73).pos(102,109).pos(102,25).
pos(103,10).pos(103,111).pos(103,8).
neg(104,64).neg(104,74).neg(104,23).
pos(105,112).pos(105,15).neg(105,37).
pos(106,103).pos(106,36).neg(106,41).
pos(107,75).pos(107,65).pos(107,9).
pos(108,95).pos(108,47).neg(108,85).
neg(109,15).neg(109,49).pos(109,27).
pos(110,93).pos(110,92).pos(110,28).
neg(111,29).neg(111,100).pos(111,21).
neg(112,17).neg(112,4).pos(112,22).
neg(113,41).pos(113,22).pos(113,82).
neg(114,5).neg(114,6).pos(114,64).
neg(115,108).pos(115,34).pos(115,119).
pos(116,70).neg(116,47).pos(116,76).
pos(117,60).neg(117,34).pos(117,44).
neg(118,66).neg(118,52).neg(118,34).
pos(119,57).neg(119,92).neg(119,83).
neg(120,70).neg(120,56).pos(120,12).
neg(121,20).pos(121,73).neg(121,9).
neg(122,12).neg(122,111).neg(122,2).
neg(123,101).pos(123,24).neg(123,7).
neg(124,67).neg(124,119).neg(124,118).
neg(125,61).pos(125,73).neg(125,70).
pos(126,55).neg(126,71).neg(126,22).
pos(127,3).pos(127,73).neg(127,74).
pos(128,20).pos(128,79).pos(128,22).
pos(129,62).neg(129,113).pos(129,80).
neg(130,70).neg(130,41).pos(130,47).
neg(131,13).pos(131,116).pos(131,92).
pos(132,37).pos(132,90).neg(132,22).
pos(133,88).neg(133,47).neg(133,68).
pos(134,115).neg(134,20).pos(134,46).
pos(135,88).pos(135,111).neg(135,1).
pos(136,94).pos(136,10).pos(136,80).
pos(137,97).neg(137,75).neg(137,105).
pos(138,93).neg(138,2).pos(138,102).
pos(139,71).neg(139,62).pos(139,74).
pos(140,61).pos(140,94).pos(140,25).
neg(141,80).neg(141,99).pos(141,70).
neg(142,61).neg(142,53).neg(142,96).
neg(143,96).neg(143,101).pos(143,78).
neg(144,29).pos(144,49).pos(144,111).
neg(145,77).pos(145,27).neg(145,94).
pos(146,8).pos(146,32).neg(146,5).
pos(147,35).pos(147,10).pos(147,64).
pos(148,116).pos(148,44).pos(148,119).
neg(149,42).neg(149,14).pos(149,118).
neg(150,76).neg(150,46).neg(150,108).
pos(151,16).pos(151,55).pos(151,92).
pos(152,19).neg(152,108).pos(152,84).
pos(153,5).neg(153,82).pos(153,32).
neg(154,34).pos(154,107).pos(154,27).
neg(155,34).pos(155,42).pos(155,76).
pos(156,82).neg(156,7).neg(156,10).
neg(157,67).pos(157,87).neg(157,49).
neg(158,96).pos(158,105).pos(158,93).
neg(159,9).neg(159,81).pos(159,36).
pos(160,75).pos(160,89).neg(160,12).
pos(161,8).pos(161,120).neg(161,100).
pos(162,87).neg(162,21).pos(162,83).
pos(163,86).pos(163,106).pos(163,99).
neg(164,78).pos(164,68).neg(164,95).
pos(165,32).neg(165,97).pos(165,39).
pos(166,18).pos(166,4).pos(166,102).
pos(167,101).neg(167,17).pos(167,94).
neg(168,102).neg(168,63).neg(168,107).
neg(169,114).pos(169,71).pos(169,34).
neg(170,39).pos(170,65).neg(170,75).
pos(171,20).neg(171,105).neg(171,98).
neg(172,28).neg(172,89).neg(172,86).
pos(173,113).neg(173,70).pos(173,95).
neg(174,51).neg(174,13).pos(174,103).
neg(175,30).pos(175,95).neg(175,28).
pos(176,68).neg(176,5).neg(176,71).
neg(177,2).neg(177,44).neg(177,5).
pos(178,24).neg(178,60).neg(178,28).
pos(179,21).neg(179,114).pos(179,55).
neg(180,71).neg(180,109).pos(180,50).
neg(181,85).pos(181,55).pos(181,49).
pos(182,63).neg(182,86).neg(182,11).
pos(183,98).pos(183,64).neg(183,120).
pos(184,56).neg(184,33).pos(184,45).
pos(185,9).pos(185,42).pos(185,23).
pos(186,4).pos(186,88).pos(186,68).
neg(187,55).neg(187,49).pos(187,99).
pos(188,95).neg(188,85).neg(188,97).
neg(189,120).neg(189,88).neg(189,73).
neg(190,110).pos(190,102).neg(190,69).
neg(191,2).neg(191,102).pos(191,114).
pos(192,88).pos(192,34).neg(192,53).
neg(193,67).pos(193,72).pos(193,48).
neg(194,91).pos(194,72).neg(194,71).
neg(195,45).neg(195,96).neg(195,75).
neg(196,21).pos(196,91).neg(196,29).
pos(197,35).pos(197,117).neg(197,116).
pos(198,72).neg(198,51).pos(198,77).
neg(199,62).pos(199,24).pos(199,96).
neg(200,20).neg(200,10).pos(200,45).
neg(201,22).pos(201,32).pos(201,58).
pos(202,61).neg(202,41).pos(202,40).
neg(203,81).pos(203,98).pos(203,5).
neg(204,108).neg(204,92).pos(204,63).
pos(205,81).neg(205,78).neg(205,69).
neg(206,53).neg(206,50).pos(206,66).
pos(207,9).neg(207,71).pos(207,46).
neg(208,84).neg(208,53).neg(208,80).
neg(209,107).pos(209,69).neg(209,79).
pos(210,54).pos(210,84).pos(210,101).
pos(211,67).neg(211,118).pos(211,120).
pos(212,23).pos(212,39).pos(212,35).
neg(213,35).neg(213,95).pos(213,32).
neg(214,57).neg(214,62).pos(214,103).
pos(215,12).neg(215,45).pos(215,50).
pos(216,28).pos(216,86).pos(216,11).
pos(217,105).neg(217,74).pos(217,96).
neg(218,26).neg(218,11).neg(218,81).
neg(219,37).pos(219,36).pos(219,13).
neg(220,103).neg(220,46).pos(220,95).
pos(221,2).pos(221,8).neg(221,86).
pos(222,3).pos(222,30).pos(222,78).
pos(223,35).neg(223,19).neg(223,32).
pos(224,55).neg(224,80).pos(224,52).
pos(225,7).neg(225,14).pos(225,42).
pos(226,75).pos(226,63).neg(226,52).
neg(227,38).neg(227,2).pos(227,63).
neg(228,75).pos(228,31).neg(228,106).
neg(229,10).neg(229,93).pos(229,48).
neg(230,57).neg(230,75).pos(230,70).
neg(231,43).neg(231,30).pos(231,98).
neg(232,117).pos(232,7).neg(232,82).
pos(233,77).neg(233,21).pos(233,113).
pos(234,32).neg(234,22).neg(234,74).
neg(235,4).pos(235,107).neg(235,65).
pos(236,66).pos(236,72).pos(236,83).
pos(237,40).pos(237,48).pos(237,77).
pos(238,99).pos(238,28).neg(238,4).
pos(239,102).pos(239,6).pos(239,15).
neg(240,64).neg(240,82).pos(240,95).
neg(241,91).neg(241,4).neg(241,119).
neg(242,67).neg(242,45).neg(242,76).
pos(243,114).pos(243,17).pos(243,38).
neg(244,33).pos(244,39).pos(244,13).
pos(245,118).pos(245,62).pos(245,103).
neg(246,96).pos(246,60).pos(246,98).
neg(247,56).neg(247,95).neg(247,37).
pos(248,92).neg(248,97).pos(248,43).
neg(249,120).pos(249,16).neg(249,105).
neg(250,74).neg(250,88).pos(250,44).
neg(251,35).pos(251,14).neg(251,109).
neg(252,23).pos(252,27).pos(252,16).
neg(253,39).neg(253,85).pos(253,88).
pos(254,4).pos(254,74).pos(254,101).
neg(255,39).neg(255,32).neg(255,53).
pos(256,68).pos(256,86).pos(256,44).
neg(257,64).neg(257,110).pos(257,54).
neg(258,26).pos(258,105).neg(258,83).
neg(259,109).pos(259,14).neg(259,97).
neg(260,111).pos(260,40).neg(260,13).
neg(261,81).neg(261,42).neg(261,32).
pos(262,95).neg(262,22).pos(262,66).
pos(263,74).pos(263,23).neg(263,72).
neg(264,113).neg(264,64).neg(264,105).
neg(265,112).neg(265,55).pos(265,93).
pos(266,98).pos(266,10).pos(266,74).
pos(267,95).pos(267,16).neg(267,5).
pos(268,62).neg(268,35).pos(268,7).
pos(269,62).pos(269,22).pos(269,108).
pos(270,44).pos(270,86).neg(270,105).
neg(271,28).neg(271,95).pos(271,100).
neg(272,70).neg(272,88).pos(272,61).
neg(273,22).pos(273,41).neg(273,79).
pos(274,26).neg(274,29).neg(274,16).
pos(275,38).pos(275,99).pos(275,21).
neg(276,44).neg(276,45).neg(276,69).
pos(277,58).neg(277,82).pos(277,86).
pos(278,101).pos(278,9).pos(278,35).
pos(279,52).neg(279,90).neg(279,91).
pos(280,80).neg(280,27).pos(280,2).
pos(281,14).neg(281,71).neg(281,55).
pos(282,58).neg(282,20).neg(282,113).
pos(283,26).pos(283,84).neg(283,105).
neg(284,104).neg(284,41).pos(284,100).
neg(285,41).pos(285,11).pos(285,101).
pos(286,98).neg(286,42).neg(286,36).
neg(287,50).pos(287,72).pos(287,96).
neg(288,37).pos(288,28).neg(288,26).
neg(289,101).pos(289,40).neg(289,65).
pos(290,33).pos(290,69).pos(290,36).
neg(291,39).pos(291,35).neg(291,44).
neg(292,48).pos(292,35).pos(292,17).
neg(293,46).pos(293,3).pos(293,45).
neg(294,76).pos(294,13).pos(294,38).
pos(295,5).neg(295,46).neg(295,97).
pos(296,115).pos(296,85).pos(296,95).
neg(297,83).neg(297,76).pos(297,4).
neg(298,110).pos(298,24).neg(298,113).
neg(299,116).neg(299,77).neg(299,55).
neg(300,76).pos(300,56).pos(300,116).
neg(301,73).neg(301,46).pos(301,115).
neg(302,28).pos(302,25).pos(302,65).
neg(303,74).neg(303,60).neg(303,30).
neg(304,29).pos(304,112).pos(304,16).
neg(305,91).pos(305,80).neg(305,84).
neg(306,57).neg(306,49).neg(306,65).
pos(307,106).neg(307,119).neg(307,67).
pos(308,14).neg(308,93).pos(308,101).
neg(309,117).neg(309,10).neg(309,98).
pos(310,17).neg(310,107).neg(310,93).
neg(311,43).pos(311,98).neg(311,115).
neg(312,6).neg(312,117).pos(312,85).
pos(313,43).neg(313,67).pos(313,51).
pos(314,8).pos(314,40).pos(314,18).
neg(315,25).neg(315,85).neg(315,1).
neg(316,65).neg(316,70).neg(316,119).
neg(317,67).neg(317,19).neg(317,120).
neg(318,110).pos(318,73).neg(318,49).
pos(319,87).pos(319,33).neg(319,49).
neg(320,23).neg(320,75).neg(320,77).
neg(321,29).pos(321,111).neg(321,55).
pos(322,26).pos(322,104).neg(322,40).
neg(323,27).neg(323,10).neg(323,69).
neg(324,86).pos(324,90).pos(324,33).
pos(325,40).pos(325,84).pos(325,26).
neg(326,62).neg(326,44).neg(326,24).
neg(327,32).pos(327,83).pos(327,92).
neg(328,102).pos(328,23).pos(328,74).
neg(329,33).pos(329,118).neg(329,29).
neg(330,12).pos(330,69).pos(330,63).
neg(331,118).neg(331,28).neg(331,47).
pos(332,11).neg(332,91).pos(332,76).
neg(333,87).neg(333,36).pos(333,40).
pos(334,64).neg(334,28).neg(334,66).
neg(335,75).pos(335,116).pos(335,44).
neg(336,109).pos(336,45).neg(336,74).
pos(337,58).pos(337,24).neg(337,41).
neg(338,73).pos(338,29).pos(338,100).
neg(339,89).pos(339,12).neg(339,88).
pos(340,36).pos(340,25).pos(340,57).
neg(341,73).pos(341,93).pos(341,52).
neg(342,72).pos(342,114).pos(342,120).
pos(343,66).pos(343,33).neg(343,45).
neg(344,34).pos(344,47).pos(344,105).
neg(345,105).neg(345,48).pos(345,42).
pos(346,53).neg(346,21).pos(346,95).
pos(347,62).neg(347,37).neg(347,4).
pos(348,82).neg(348,93).neg(348,35).
pos(349,118).neg(349,5).neg(349,96).
pos(350,49).neg(350,120).pos(350,65).
neg(351,65).pos(351,19).pos(351,13).
pos(352,21).neg(352,14).neg(352,113).
neg(353,78).neg(353,79).neg(353,60).
pos(354,50).pos(354,45).neg(354,84).
neg(355,35).neg(355,84).neg(355,92).
neg(356,67).neg(356,16).neg(356,113).
neg(357,54).pos(357,93).neg(357,78).
pos(358,11).pos(358,27).neg(358,82).
pos(359,101).neg(359,55).pos(359,93).
pos(360,53).pos(360,30).neg(360,60).
pos(361,25).neg(361,64).neg(361,80).
pos(362,27).neg(362,55).neg(362,18).
neg(363,42).neg(363,27).neg(363,72).
neg(364,71).neg(364,110).pos(364,70).
neg(365,63).neg(365,42).neg(365,72).
neg(366,12).neg(366,69).pos(366,61).
neg(367,37).pos(367,111).neg(367,53).
neg(368,87).neg(368,20).pos(368,34).
pos(369,93).neg(369,14).neg(369,108).
neg(370,35).pos(370,69).pos(370,6).
neg(371,58).neg(371,99).neg(371,92).
pos(372,25).pos(372,118).pos(372,84).
neg(373,7).neg(373,23).neg(373,27).
neg(374,108).pos(374,31).pos(374,80).
pos(375,60).neg(375,53).pos(375,62).
neg(376,12).pos(376,75).pos(376,108).
pos(377,21).neg(377,31).neg(377,19).
neg(378,59).pos(378,27).neg(378,34).
pos(379,1).pos(379,43).neg(379,5).
neg(380,34).pos(380,100).neg(380,65).
pos(381,15).neg(381,24).neg(381,50).
pos(382,112).pos(382,23).neg(382,72).
pos(383,7).pos(383,49).pos(383,76).
neg(384,70).neg(384,94).neg(384,99).
neg(385,106).neg(385,26).pos(385,81).
neg(386,109).neg(386,30).neg(386,49).
pos(387,23).neg(387,13).pos(387,53).
pos(388,69).pos(388,87).pos(388,75).
neg(389,70).neg(389,109).pos(389,120).
neg(390,4).pos(390,83).neg(390,53).
neg(391,103).pos(391,19).neg(391,45).
pos(392,83).pos(392,98).pos(392,95).
neg(393,43).pos(393,80).pos(393,23).
neg(394,42).neg(394,31).neg(394,41).
neg(395,1).pos(395,72).neg(395,61).
pos(396,5).pos(396,8).pos(396,63).
neg(397,75).neg(397,41).pos(397,61).
pos(398,75).neg(398,92).pos(398,38).
pos(399,60).pos(399,27).pos(399,111).
neg(400,66).pos(400,80).pos(400,51).
neg(401,75).pos(401,63).pos(401,40).
pos(402,36).neg(402,29).neg(402,35).
pos(403,39).pos(403,93).neg(403,78).
neg(404,118).pos(404,72).pos(404,74).
neg(405,40).pos(405,52).pos(405,89).
neg(406,49).neg(406,4).pos(406,118).
pos(407,107).pos(407,29).pos(407,101).
pos(408,88).pos(408,43).neg(408,4).
neg(409,53).pos(409,9).neg(409,25).
neg(410,57).pos(410,92).neg(410,39).
neg(411,89).pos(411,95).neg(411,77).
neg(412,119).neg(412,117).pos(412,62).
pos(413,81).pos(413,99).pos(413,72).
neg(414,115).neg(414,94).pos(414,7).
pos(415,76).pos(415,47).pos(415,42).
pos(416,98).neg(416,52).pos(416,86).
neg(417,36).neg(417,55).neg(417,110).
pos(418,120).neg(418,9).neg(418,64).
pos(419,71).neg(419,84).pos(419,44).
pos(420,35).pos(420,17).pos(420,29).
pos(421,37).pos(421,52).neg(421,63).
pos(422,80).neg(422,92).neg(422,2).
pos(423,114).pos(423,14).pos(423,83).
neg(424,75).pos(424,119).neg(424,77).
pos(425,112).pos(425,17).pos(425,63).
neg(426,43).neg(426,36).neg(426,59).
neg(427,103).neg(427,59).neg(427,8).
neg(428,19).pos(428,37).neg(428,115).
pos(429,93).pos(429,31).neg(429,99).
neg(430,118).neg(430,90).neg(430,74).
pos(431,51).neg(431,12).neg(431,82).
neg(432,39).neg(432,72).neg(432,1).
pos(433,13).pos(433,71).pos(433,43).
neg(434,47).pos(434,118).neg(434,98).
neg(435,57).pos(435,42).neg(435,101).
pos(436,50).pos(436,111).pos(436,101).
neg(437,115).pos(437,7).neg(437,100).
pos(438,8).pos(438,18).neg(438,41).
neg(439,7).neg(439,58).pos(439,29).
neg(440,84).pos(440,114).pos(440,94).
neg(441,120).neg(441,101).neg(441,60).
pos(442,45).neg(442,83).pos(442,103).
pos(443,49).neg(443,55).neg(443,60).
pos(444,101).neg(444,46).pos(444,54).
neg(445,58).neg(445,22).pos(445,14).
neg(446,1).pos(446,3).pos(446,106).
neg(447,53).neg(447,108).pos(447,64).
neg(448,69).pos(448,72).pos(448,42).
pos(449,82).pos(449,60).pos(449,53).
neg(450,73).neg(450,3).neg(450,16).
neg(451,81).neg(451,13).pos(451,116).
neg(452,17).neg(452,12).neg(452,55).
pos(453,85).pos(453,59).neg(453,118).
pos(454,30).pos(454,115).neg(454,77).
pos(455,75).pos(455,20).pos(455,115).
pos(456,76).pos(456,43).neg(456,22).
neg(457,70).neg(457,78).pos(457,33).
neg(458,27).pos(458,118).neg(458,17).
pos(459,50).neg(459,65).neg(459,119).
neg(460,74).pos(460,34).pos(460,13).
neg(461,119).pos(461,87).pos(461,48).
neg(462,71).pos(462,9).neg(462,69).
pos(463,15).neg(463,21).neg(463,45).
pos(464,119).neg(464,67).pos(464,9).
pos(465,68).neg(465,10).neg(465,46).
neg(466,1).neg(466,102).pos(466,77).
neg(467,66).pos(467,26).neg(467,38).
pos(468,106).neg(468,54).pos(468,55).
neg(469,27).pos(469,71).pos(469,100).
pos(470,22).pos(470,40).pos(470,20).
pos(471,44).pos(471,120).neg(471,99).
neg(472,47).pos(472,94).neg(472,102).
pos(473,30).neg(473,54).pos(473,78).
pos(474,60).neg(474,33).neg(474,53).
neg(475,80).neg(475,43).pos(475,96).
neg(476,75).pos(476,74).pos(476,28).
pos(477,22).neg(477,73).neg(477,18).
neg(478,110).pos(478,5).neg(478,2).
neg(479,24).pos(479,50).neg(479,63).
neg(480,60).neg(480,39).neg(480,13).
