#const numOfAtoms = 120.
atoms(1..120).
clauses(1..498).
neg(1,93).neg(1,41).pos(1,102).
neg(126,93).neg(126,12).pos(126,108).
neg(127,74).pos(127,76).pos(127,116).
neg(128,49).pos(128,41).pos(128,74).
neg(129,30).pos(129,80).pos(129,89).
neg(130,64).pos(130,12).pos(130,92).
neg(131,31).pos(131,66).pos(131,97).
neg(132,115).neg(132,87).pos(132,82).
neg(133,89).neg(133,26).pos(133,97).
neg(134,43).pos(134,12).pos(134,40).
neg(135,114).pos(135,28).pos(135,58).
neg(136,87).pos(136,6).pos(136,63).
pos(137,49).pos(137,94).pos(137,108).
neg(138,109).neg(138,90).neg(138,23).
neg(139,69).pos(139,16).pos(139,76).
neg(140,91).neg(140,73).pos(140,95).
pos(141,5).pos(141,64).pos(141,75).
neg(142,17).pos(142,39).pos(142,107).
neg(143,17).neg(143,11).pos(143,55).
neg(144,40).pos(144,79).pos(144,80).
neg(145,79).neg(145,12).pos(145,11).
neg(146,84).neg(146,35).pos(146,22).
neg(147,103).pos(147,37).pos(147,97).
neg(148,68).pos(148,40).pos(148,107).
pos(149,5).pos(149,55).pos(149,76).
neg(150,119).neg(150,90).pos(150,104).
neg(151,53).pos(151,6).pos(151,26).
neg(152,94).neg(152,59).pos(152,19).
neg(153,119).neg(153,58).pos(153,56).
neg(154,76).neg(154,68).neg(154,3).
neg(155,43).neg(155,19).pos(155,58).
neg(156,73).neg(156,68).pos(156,85).
neg(157,120).neg(157,10).pos(157,65).
neg(158,69).pos(158,36).pos(158,76).
pos(159,15).pos(159,60).pos(159,95).
pos(160,10).pos(160,88).pos(160,93).
neg(161,82).pos(161,20).pos(161,54).
pos(162,17).pos(162,34).pos(162,36).
neg(163,21).pos(163,37).pos(163,81).
neg(164,97).neg(164,51).neg(164,24).
neg(165,89).pos(165,76).pos(165,88).
neg(166,31).pos(166,41).pos(166,63).
neg(167,32).neg(167,1).pos(167,62).
neg(168,93).pos(168,43).pos(168,117).
neg(169,112).neg(169,62).pos(169,45).
neg(170,30).pos(170,9).pos(170,92).
pos(171,14).pos(171,34).pos(171,70).
neg(172,18).pos(172,28).pos(172,108).
neg(173,111).pos(173,61).pos(173,117).
neg(174,91).neg(174,39).neg(174,31).
neg(175,74).neg(175,61).pos(175,41).
neg(176,8).pos(176,17).pos(176,43).
neg(177,32).neg(177,5).pos(177,21).
neg(178,99).neg(178,49).pos(178,106).
neg(179,90).neg(179,55).neg(179,36).
neg(180,57).neg(180,32).pos(180,89).
neg(181,99).neg(181,31).neg(181,6).
pos(182,39).pos(182,63).pos(182,95).
neg(183,48).pos(183,51).pos(183,56).
neg(184,15).pos(184,39).pos(184,79).
pos(185,43).pos(185,101).pos(185,117).
neg(186,110).neg(186,23).pos(186,55).
neg(187,21).pos(187,49).pos(187,96).
neg(188,2).pos(188,10).pos(188,64).
neg(189,92).pos(189,52).pos(189,65).
neg(190,114).neg(190,67).neg(190,7).
neg(191,72).neg(191,51).pos(191,87).
pos(192,15).pos(192,59).pos(192,70).
pos(193,34).pos(193,64).pos(193,110).
neg(194,36).neg(194,7).pos(194,54).
neg(195,52).neg(195,21).pos(195,99).
neg(196,77).neg(196,58).pos(196,62).
neg(197,117).pos(197,86).pos(197,120).
neg(198,87).neg(198,46).pos(198,75).
neg(199,50).neg(199,1).pos(199,99).
neg(200,88).neg(200,74).neg(200,67).
neg(201,112).neg(201,110).neg(201,29).
pos(202,3).pos(202,82).pos(202,89).
neg(203,60).pos(203,23).pos(203,119).
neg(204,76).pos(204,66).pos(204,68).
neg(205,96).pos(205,68).pos(205,83).
neg(206,61).neg(206,27).pos(206,55).
neg(207,55).neg(207,10).pos(207,70).
neg(208,1).pos(208,51).pos(208,82).
neg(209,13).pos(209,23).pos(209,58).
neg(210,109).pos(210,13).pos(210,85).
neg(211,66).neg(211,1).pos(211,106).
neg(212,46).pos(212,45).pos(212,92).
neg(213,95).neg(213,93).pos(213,14).
neg(214,44).pos(214,47).pos(214,50).
neg(215,17).pos(215,91).pos(215,117).
neg(216,47).pos(216,37).pos(216,84).
neg(217,63).neg(217,14).pos(217,7).
neg(218,85).neg(218,30).pos(218,59).
neg(219,90).neg(219,11).pos(219,98).
neg(220,60).neg(220,32).neg(220,7).
neg(221,80).neg(221,72).pos(221,64).
neg(222,52).neg(222,9).pos(222,43).
pos(223,15).pos(223,42).pos(223,48).
neg(224,101).neg(224,95).neg(224,78).
pos(225,17).pos(225,19).pos(225,77).
pos(226,52).pos(226,61).pos(226,80).
neg(227,72).neg(227,39).pos(227,108).
neg(228,112).pos(228,85).pos(228,119).
neg(229,39).pos(229,24).pos(229,60).
neg(230,109).neg(230,30).neg(230,24).
neg(231,114).neg(231,58).neg(231,19).
neg(232,111).pos(232,22).pos(232,25).
neg(233,69).neg(233,41).pos(233,53).
neg(234,63).neg(234,58).neg(234,1).
neg(235,34).neg(235,7).pos(235,118).
neg(236,80).neg(236,37).pos(236,49).
neg(237,70).neg(237,54).neg(237,23).
neg(238,27).pos(238,14).pos(238,115).
neg(239,107).neg(239,106).pos(239,31).
pos(240,19).pos(240,23).pos(240,85).
neg(241,93).pos(241,22).pos(241,113).
neg(242,7).pos(242,53).pos(242,71).
neg(243,82).pos(243,26).pos(243,80).
neg(244,114).neg(244,40).pos(244,78).
neg(245,21).pos(245,61).pos(245,115).
neg(246,58).pos(246,13).pos(246,30).
pos(247,2).pos(247,70).pos(247,76).
neg(248,104).neg(248,8).pos(248,19).
neg(249,118).neg(249,17).pos(249,41).
neg(250,119).neg(250,117).neg(250,92).
neg(251,66).neg(251,26).pos(251,2).
pos(252,20).pos(252,73).pos(252,97).
neg(253,29).pos(253,112).pos(253,116).
pos(254,2).pos(254,25).pos(254,40).
neg(255,85).neg(255,70).pos(255,28).
neg(256,104).neg(256,66).neg(256,38).
neg(257,67).neg(257,62).pos(257,95).
neg(258,118).neg(258,30).pos(258,75).
neg(259,115).neg(259,37).pos(259,119).
pos(260,46).pos(260,49).pos(260,60).
neg(261,90).neg(261,59).pos(261,85).
neg(262,100).neg(262,5).pos(262,39).
neg(263,62).neg(263,36).pos(263,66).
neg(264,115).pos(264,12).pos(264,100).
neg(265,75).neg(265,29).neg(265,27).
neg(266,102).neg(266,41).pos(266,114).
neg(267,51).pos(267,2).pos(267,35).
neg(268,103).pos(268,23).pos(268,100).
neg(269,67).pos(269,6).pos(269,82).
pos(270,17).pos(270,23).pos(270,44).
neg(271,87).neg(271,15).pos(271,11).
neg(272,49).neg(272,12).pos(272,105).
neg(273,61).neg(273,43).neg(273,7).
neg(274,44).neg(274,7).pos(274,106).
neg(275,42).neg(275,24).pos(275,11).
neg(276,100).pos(276,9).pos(276,108).
neg(277,19).pos(277,85).pos(277,94).
neg(278,77).pos(278,10).pos(278,35).
neg(279,72).pos(279,8).pos(279,76).
neg(280,119).neg(280,17).pos(280,88).
neg(281,23).neg(281,16).pos(281,55).
neg(282,104).pos(282,28).pos(282,112).
neg(283,52).neg(283,37).pos(283,63).
neg(284,64).neg(284,15).pos(284,18).
pos(285,31).pos(285,42).pos(285,114).
pos(286,18).pos(286,21).pos(286,45).
neg(287,119).neg(287,42).pos(287,21).
neg(288,61).neg(288,30).pos(288,65).
neg(289,43).neg(289,14).pos(289,85).
neg(290,115).neg(290,92).neg(290,29).
neg(291,89).neg(291,78).pos(291,40).
neg(292,116).pos(292,2).pos(292,26).
pos(293,30).pos(293,56).pos(293,119).
pos(294,13).pos(294,22).pos(294,94).
neg(295,114).neg(295,61).neg(295,47).
neg(296,100).neg(296,26).pos(296,82).
neg(297,29).pos(297,2).pos(297,116).
neg(298,107).pos(298,51).pos(298,94).
pos(299,1).pos(299,24).pos(299,39).
neg(300,88).neg(300,21).pos(300,76).
neg(301,81).pos(301,30).pos(301,37).
neg(302,89).pos(302,65).pos(302,92).
neg(303,71).neg(303,36).pos(303,87).
neg(304,102).neg(304,16).neg(304,5).
neg(305,85).pos(305,79).pos(305,98).
neg(306,104).neg(306,78).pos(306,1).
pos(307,15).pos(307,18).pos(307,75).
pos(308,1).pos(308,31).pos(308,87).
neg(309,109).neg(309,12).pos(309,72).
neg(310,2).pos(310,16).pos(310,79).
pos(311,14).pos(311,59).pos(311,82).
neg(312,120).pos(312,18).pos(312,119).
pos(313,1).pos(313,21).pos(313,79).
neg(314,113).neg(314,98).pos(314,57).
neg(315,73).pos(315,61).pos(315,105).
neg(316,87).neg(316,34).pos(316,86).
neg(317,84).neg(317,73).neg(317,12).
neg(318,92).pos(318,87).pos(318,116).
pos(319,37).pos(319,116).pos(319,117).
neg(320,56).neg(320,40).pos(320,45).
neg(321,40).neg(321,32).pos(321,50).
neg(322,33).pos(322,11).pos(322,98).
neg(323,72).neg(323,50).neg(323,27).
neg(324,12).pos(324,19).pos(324,117).
neg(325,89).neg(325,50).neg(325,32).
neg(326,74).pos(326,20).pos(326,22).
neg(327,108).pos(327,93).pos(327,117).
pos(328,33).pos(328,71).pos(328,82).
neg(329,62).pos(329,28).pos(329,77).
pos(330,25).pos(330,28).pos(330,114).
neg(331,67).neg(331,11).pos(331,115).
pos(332,24).pos(332,73).pos(332,84).
pos(333,22).pos(333,74).pos(333,101).
neg(334,80).neg(334,66).pos(334,33).
neg(335,104).neg(335,100).neg(335,18).
neg(336,91).pos(336,42).pos(336,97).
neg(337,45).pos(337,43).pos(337,82).
neg(338,67).neg(338,59).pos(338,80).
neg(339,50).neg(339,29).pos(339,18).
neg(340,106).neg(340,78).pos(340,97).
pos(341,3).pos(341,6).pos(341,9).
pos(342,40).pos(342,42).pos(342,66).
neg(343,80).neg(343,77).pos(343,115).
neg(344,62).neg(344,31).pos(344,26).
pos(345,20).pos(345,59).pos(345,91).
neg(346,61).neg(346,35).pos(346,104).
neg(347,38).neg(347,35).pos(347,50).
neg(348,81).neg(348,77).pos(348,22).
neg(349,40).pos(349,5).pos(349,6).
neg(350,106).pos(350,30).pos(350,54).
neg(351,108).pos(351,12).pos(351,75).
neg(352,84).neg(352,27).pos(352,51).
neg(353,94).pos(353,95).pos(353,103).
neg(354,109).neg(354,106).neg(354,30).
neg(355,74).pos(355,32).pos(355,37).
neg(356,81).pos(356,91).pos(356,116).
neg(357,117).neg(357,19).pos(357,84).
neg(358,51).neg(358,50).pos(358,92).
neg(359,78).neg(359,75).neg(359,69).
pos(360,21).pos(360,43).pos(360,96).
neg(361,32).pos(361,70).pos(361,100).
neg(362,119).neg(362,31).neg(362,23).
neg(363,101).neg(363,58).pos(363,62).
pos(364,7).pos(364,27).pos(364,116).
neg(365,33).pos(365,5).pos(365,42).
neg(366,69).pos(366,34).pos(366,68).
neg(367,69).neg(367,50).neg(367,44).
pos(368,54).pos(368,77).pos(368,94).
neg(369,64).pos(369,72).pos(369,94).
neg(370,17).pos(370,96).pos(370,120).
neg(371,45).pos(371,9).pos(371,32).
neg(372,95).neg(372,68).pos(372,54).
neg(373,93).pos(373,47).pos(373,94).
neg(374,113).neg(374,4).pos(374,33).
neg(375,53).pos(375,71).pos(375,94).
neg(376,92).pos(376,52).pos(376,106).
neg(377,110).pos(377,8).pos(377,47).
neg(378,81).neg(378,54).neg(378,27).
neg(379,32).pos(379,41).pos(379,58).
pos(380,70).pos(380,74).pos(380,99).
neg(381,58).neg(381,14).pos(381,113).
neg(382,73).pos(382,51).pos(382,74).
neg(383,112).pos(383,2).pos(383,18).
neg(384,90).neg(384,30).pos(384,112).
neg(385,81).pos(385,18).pos(385,26).
neg(386,113).neg(386,52).pos(386,2).
neg(387,68).neg(387,66).pos(387,15).
neg(388,78).neg(388,5).pos(388,70).
neg(389,45).pos(389,109).pos(389,115).
neg(390,1).pos(390,18).pos(390,62).
neg(391,93).neg(391,73).pos(391,110).
neg(392,56).neg(392,26).pos(392,98).
pos(393,19).pos(393,42).pos(393,51).
neg(394,109).neg(394,94).neg(394,5).
neg(395,93).neg(395,51).neg(395,31).
neg(396,97).neg(396,7).pos(396,84).
pos(397,54).pos(397,71).pos(397,78).
neg(398,77).pos(398,61).pos(398,116).
neg(399,100).pos(399,66).pos(399,115).
neg(400,90).neg(400,46).pos(400,39).
neg(401,120).neg(401,62).neg(401,12).
neg(402,39).neg(402,13).pos(402,17).
pos(403,12).pos(403,85).pos(403,113).
pos(404,28).pos(404,34).pos(404,89).
neg(405,11).pos(405,60).pos(405,96).
neg(406,26).neg(406,2).pos(406,67).
neg(407,82).neg(407,24).pos(407,22).
neg(408,53).neg(408,48).neg(408,40).
pos(409,37).pos(409,65).pos(409,102).
neg(410,42).pos(410,90).pos(410,98).
neg(411,95).pos(411,67).pos(411,80).
pos(412,16).pos(412,58).pos(412,71).
neg(413,76).neg(413,5).pos(413,43).
neg(414,107).neg(414,88).pos(414,90).
neg(415,103).neg(415,21).pos(415,48).
neg(416,72).neg(416,14).pos(416,55).
neg(417,105).neg(417,36).pos(417,24).
neg(418,118).pos(418,45).pos(418,55).
pos(419,22).pos(419,37).pos(419,66).
pos(420,16).pos(420,53).pos(420,89).
neg(421,107).neg(421,25).pos(421,8).
neg(422,52).pos(422,9).pos(422,107).
neg(423,72).pos(423,14).pos(423,48).
pos(424,70).pos(424,73).pos(424,93).
neg(425,117).neg(425,109).pos(425,52).
neg(426,118).pos(426,30).pos(426,67).
pos(427,6).pos(427,47).pos(427,83).
neg(428,33).neg(428,28).pos(428,47).
pos(429,11).pos(429,67).pos(429,95).
neg(430,88).neg(430,79).pos(430,67).
neg(431,62).pos(431,32).pos(431,58).
neg(432,37).neg(432,11).pos(432,27).
neg(433,51).pos(433,6).pos(433,61).
pos(434,31).pos(434,92).pos(434,105).
neg(435,7).pos(435,28).pos(435,50).
pos(436,78).pos(436,113).pos(436,117).
neg(437,114).neg(437,23).pos(437,25).
neg(438,117).pos(438,69).pos(438,112).
neg(439,116).neg(439,114).neg(439,82).
neg(440,47).pos(440,2).pos(440,55).
pos(441,54).pos(441,77).pos(441,93).
neg(442,38).neg(442,33).neg(442,22).
neg(443,86).neg(443,36).pos(443,120).
neg(444,22).neg(444,10).pos(444,67).
neg(445,109).pos(445,86).pos(445,120).
neg(446,57).neg(446,53).neg(446,42).
neg(447,14).neg(447,4).pos(447,11).
neg(448,56).pos(448,70).pos(448,109).
neg(449,49).pos(449,9).pos(449,10).
neg(450,92).pos(450,32).pos(450,96).
neg(451,115).neg(451,87).pos(451,76).
neg(452,118).neg(452,25).pos(452,32).
pos(453,13).pos(453,51).pos(453,66).
neg(454,18).pos(454,62).pos(454,106).
neg(455,56).neg(455,46).pos(455,30).
neg(456,71).neg(456,24).pos(456,106).
neg(457,102).pos(457,34).pos(457,92).
neg(458,108).neg(458,85).neg(458,28).
neg(459,95).pos(459,48).pos(459,55).
neg(460,82).neg(460,74).pos(460,36).
neg(461,39).neg(461,33).pos(461,14).
neg(462,63).pos(462,4).pos(462,104).
neg(463,1).pos(463,64).pos(463,68).
neg(464,78).neg(464,20).pos(464,101).
neg(465,108).neg(465,80).neg(465,54).
neg(466,115).pos(466,52).pos(466,89).
neg(467,110).neg(467,72).pos(467,23).
neg(468,68).neg(468,53).pos(468,30).
neg(469,80).pos(469,62).pos(469,94).
neg(470,115).neg(470,74).pos(470,66).
neg(471,80).pos(471,16).pos(471,81).
pos(472,7).pos(472,59).pos(472,99).
neg(473,44).pos(473,38).pos(473,67).
neg(474,76).neg(474,32).neg(474,27).
neg(475,110).neg(475,38).pos(475,12).
neg(476,50).neg(476,17).pos(476,59).
neg(477,77).neg(477,41).pos(477,95).
pos(478,40).pos(478,68).pos(478,70).
pos(479,42).pos(479,48).pos(479,69).
neg(480,41).pos(480,44).pos(480,68).
neg(481,117).neg(481,89).neg(481,54).
pos(482,47).pos(482,80).pos(482,104).
neg(483,62).neg(483,38).pos(483,6).
pos(484,31).pos(484,41).pos(484,89).
pos(485,10).pos(485,14).pos(485,120).
neg(486,86).neg(486,85).neg(486,72).
pos(487,4).pos(487,19).pos(487,60).
neg(488,113).neg(488,15).pos(488,86).
neg(489,117).neg(489,84).neg(489,34).
neg(490,64).neg(490,50).pos(490,72).
neg(491,110).neg(491,80).pos(491,11).
neg(492,23).pos(492,11).pos(492,43).
neg(493,75).neg(493,10).pos(493,63).
neg(494,26).neg(494,2).pos(494,47).
neg(495,120).pos(495,4).pos(495,64).
neg(496,18).neg(496,13).pos(496,68).
neg(497,77).neg(497,17).pos(497,54).
neg(498,73).pos(498,61).pos(498,113).
