#const numOfAtoms = 120.
atoms(1..120).
clauses(1..504).
neg(1,109).neg(1,37).pos(1,20).
neg(127,110).neg(127,77).pos(127,66).
neg(128,2).pos(128,7).pos(128,88).
pos(129,75).pos(129,83).pos(129,88).
neg(130,85).neg(130,74).neg(130,14).
neg(131,58).neg(131,4).pos(131,1).
neg(132,77).neg(132,64).neg(132,55).
neg(133,87).neg(133,73).pos(133,16).
pos(134,19).pos(134,29).pos(134,49).
pos(135,82).pos(135,95).pos(135,114).
neg(136,59).pos(136,84).pos(136,108).
neg(137,16).pos(137,58).pos(137,116).
neg(138,38).pos(138,53).pos(138,84).
neg(139,84).neg(139,12).pos(139,111).
neg(140,119).pos(140,15).pos(140,48).
neg(141,39).neg(141,3).pos(141,58).
pos(142,35).pos(142,50).pos(142,75).
neg(143,59).pos(143,114).pos(143,116).
neg(144,72).neg(144,49).neg(144,45).
pos(145,15).pos(145,81).pos(145,97).
neg(146,40).neg(146,21).pos(146,16).
neg(147,24).pos(147,79).pos(147,82).
neg(148,116).neg(148,46).neg(148,6).
neg(149,44).neg(149,3).pos(149,73).
neg(150,74).pos(150,39).pos(150,63).
neg(151,74).neg(151,54).pos(151,96).
neg(152,17).pos(152,31).pos(152,76).
neg(153,36).neg(153,20).pos(153,34).
neg(154,43).pos(154,47).pos(154,118).
neg(155,42).neg(155,11).pos(155,43).
neg(156,90).neg(156,69).neg(156,40).
pos(157,12).pos(157,39).pos(157,75).
neg(158,98).neg(158,79).pos(158,89).
neg(159,119).neg(159,96).pos(159,101).
neg(160,16).pos(160,11).pos(160,66).
neg(161,39).pos(161,7).pos(161,36).
neg(162,84).neg(162,3).pos(162,98).
neg(163,54).neg(163,41).pos(163,51).
neg(164,99).neg(164,98).pos(164,3).
neg(165,76).pos(165,10).pos(165,58).
neg(166,86).neg(166,84).neg(166,9).
neg(167,70).pos(167,10).pos(167,118).
neg(168,55).pos(168,16).pos(168,97).
neg(169,55).pos(169,76).pos(169,79).
neg(170,100).neg(170,88).pos(170,78).
neg(171,101).neg(171,29).pos(171,34).
neg(172,57).neg(172,15).neg(172,6).
neg(173,52).pos(173,57).pos(173,104).
neg(174,93).pos(174,79).pos(174,102).
neg(175,50).neg(175,4).pos(175,85).
pos(176,32).pos(176,78).pos(176,88).
neg(177,46).pos(177,27).pos(177,80).
neg(178,119).neg(178,77).neg(178,34).
neg(179,74).neg(179,55).pos(179,101).
neg(180,37).pos(180,46).pos(180,105).
neg(181,11).pos(181,31).pos(181,46).
neg(182,98).pos(182,11).pos(182,54).
neg(183,73).neg(183,16).pos(183,24).
neg(184,67).pos(184,8).pos(184,37).
neg(185,59).neg(185,55).pos(185,49).
neg(186,44).pos(186,17).pos(186,65).
neg(187,79).neg(187,67).pos(187,35).
neg(188,15).pos(188,27).pos(188,120).
neg(189,100).pos(189,99).pos(189,113).
neg(190,93).pos(190,94).pos(190,111).
neg(191,79).neg(191,68).pos(191,16).
neg(192,95).neg(192,12).pos(192,16).
neg(193,68).pos(193,35).pos(193,42).
neg(194,72).neg(194,52).pos(194,71).
neg(195,75).neg(195,54).pos(195,110).
neg(196,110).pos(196,70).pos(196,75).
neg(197,24).pos(197,64).pos(197,65).
neg(198,108).neg(198,96).pos(198,85).
neg(199,120).neg(199,110).pos(199,38).
neg(200,88).neg(200,12).pos(200,14).
neg(201,118).neg(201,46).neg(201,13).
neg(202,102).pos(202,37).pos(202,86).
neg(203,66).neg(203,2).pos(203,64).
neg(204,96).neg(204,55).pos(204,101).
neg(205,75).neg(205,58).pos(205,50).
neg(206,73).neg(206,64).neg(206,33).
neg(207,61).neg(207,45).pos(207,65).
neg(208,51).neg(208,2).pos(208,119).
neg(209,38).pos(209,67).pos(209,79).
neg(210,67).neg(210,61).neg(210,28).
neg(211,99).neg(211,92).pos(211,22).
neg(212,100).neg(212,89).neg(212,33).
neg(213,80).pos(213,1).pos(213,32).
neg(214,28).pos(214,61).pos(214,70).
neg(215,47).pos(215,30).pos(215,115).
pos(216,12).pos(216,16).pos(216,54).
neg(217,110).neg(217,105).pos(217,43).
neg(218,33).pos(218,83).pos(218,103).
pos(219,24).pos(219,56).pos(219,114).
neg(220,66).neg(220,64).pos(220,78).
neg(221,48).pos(221,18).pos(221,58).
neg(222,101).neg(222,45).pos(222,44).
neg(223,62).pos(223,64).pos(223,74).
pos(224,2).pos(224,32).pos(224,53).
neg(225,58).neg(225,13).pos(225,101).
neg(226,92).pos(226,11).pos(226,51).
pos(227,3).pos(227,51).pos(227,54).
neg(228,25).pos(228,7).pos(228,111).
neg(229,100).neg(229,94).pos(229,82).
neg(230,91).pos(230,4).pos(230,19).
neg(231,49).neg(231,47).pos(231,78).
neg(232,31).pos(232,51).pos(232,66).
neg(233,34).pos(233,18).pos(233,97).
neg(234,56).neg(234,49).pos(234,23).
neg(235,59).pos(235,27).pos(235,34).
neg(236,70).neg(236,55).pos(236,32).
neg(237,20).pos(237,66).pos(237,114).
neg(238,107).neg(238,106).neg(238,34).
neg(239,10).pos(239,88).pos(239,106).
neg(240,113).neg(240,64).pos(240,14).
neg(241,113).neg(241,79).neg(241,69).
neg(242,98).neg(242,12).pos(242,87).
neg(243,58).pos(243,68).pos(243,107).
neg(244,102).neg(244,55).neg(244,26).
neg(245,86).neg(245,47).pos(245,81).
neg(246,85).neg(246,63).neg(246,31).
neg(247,60).neg(247,58).pos(247,81).
neg(248,104).pos(248,7).pos(248,62).
neg(249,108).neg(249,36).neg(249,15).
neg(250,51).neg(250,26).pos(250,113).
neg(251,107).neg(251,100).neg(251,42).
neg(252,104).neg(252,74).neg(252,21).
neg(253,41).neg(253,37).pos(253,60).
neg(254,115).pos(254,92).pos(254,110).
pos(255,15).pos(255,84).pos(255,87).
neg(256,120).neg(256,88).neg(256,78).
pos(257,28).pos(257,53).pos(257,96).
neg(258,50).neg(258,3).pos(258,49).
neg(259,49).pos(259,90).pos(259,99).
neg(260,120).neg(260,116).pos(260,1).
pos(261,39).pos(261,52).pos(261,107).
neg(262,41).pos(262,87).pos(262,104).
neg(263,118).neg(263,91).neg(263,71).
neg(264,7).pos(264,90).pos(264,96).
neg(265,40).pos(265,12).pos(265,88).
neg(266,6).pos(266,27).pos(266,40).
neg(267,95).neg(267,63).pos(267,24).
neg(268,93).neg(268,64).pos(268,66).
pos(269,76).pos(269,81).pos(269,109).
neg(270,95).pos(270,34).pos(270,102).
neg(271,89).neg(271,70).pos(271,51).
neg(272,5).pos(272,36).pos(272,66).
neg(273,77).pos(273,22).pos(273,61).
neg(274,118).neg(274,41).pos(274,90).
neg(275,118).neg(275,102).neg(275,39).
pos(276,1).pos(276,72).pos(276,85).
neg(277,106).pos(277,75).pos(277,77).
neg(278,60).pos(278,76).pos(278,84).
neg(279,112).neg(279,70).pos(279,39).
neg(280,30).neg(280,8).neg(280,6).
neg(281,18).pos(281,3).pos(281,69).
neg(282,4).pos(282,81).pos(282,88).
neg(283,57).pos(283,98).pos(283,102).
neg(284,96).neg(284,65).neg(284,53).
neg(285,86).neg(285,60).neg(285,38).
neg(286,111).pos(286,1).pos(286,44).
neg(287,120).neg(287,19).pos(287,68).
neg(288,29).pos(288,97).pos(288,101).
neg(289,111).neg(289,89).neg(289,70).
neg(290,50).neg(290,2).pos(290,67).
neg(291,113).pos(291,62).pos(291,100).
neg(292,74).pos(292,32).pos(292,118).
neg(293,105).neg(293,70).pos(293,87).
neg(294,19).pos(294,29).pos(294,115).
neg(295,94).neg(295,73).pos(295,38).
neg(296,58).pos(296,85).pos(296,106).
neg(297,117).neg(297,89).neg(297,13).
neg(298,116).neg(298,104).pos(298,118).
neg(299,120).pos(299,102).pos(299,105).
neg(300,62).neg(300,1).pos(300,76).
neg(301,115).neg(301,89).pos(301,102).
neg(302,111).neg(302,90).neg(302,24).
neg(303,100).neg(303,45).neg(303,39).
neg(304,95).neg(304,37).pos(304,18).
neg(305,115).neg(305,16).pos(305,98).
neg(306,48).pos(306,58).pos(306,63).
neg(307,113).neg(307,67).pos(307,98).
neg(308,91).neg(308,3).pos(308,118).
neg(309,102).neg(309,63).neg(309,23).
pos(310,52).pos(310,62).pos(310,69).
pos(311,71).pos(311,94).pos(311,95).
neg(312,118).neg(312,63).pos(312,54).
neg(313,17).pos(313,25).pos(313,62).
neg(314,76).neg(314,56).pos(314,83).
pos(315,35).pos(315,43).pos(315,94).
pos(316,2).pos(316,67).pos(316,108).
neg(317,65).pos(317,54).pos(317,69).
neg(318,25).pos(318,64).pos(318,73).
neg(319,109).neg(319,82).pos(319,116).
neg(320,74).pos(320,2).pos(320,83).
neg(321,109).neg(321,5).pos(321,17).
neg(322,70).pos(322,23).pos(322,37).
neg(323,35).pos(323,63).pos(323,83).
neg(324,41).pos(324,1).pos(324,25).
neg(325,83).pos(325,39).pos(325,81).
neg(326,1).pos(326,31).pos(326,73).
neg(327,59).neg(327,2).pos(327,37).
neg(328,59).neg(328,28).neg(328,23).
neg(329,49).neg(329,22).pos(329,8).
neg(330,104).neg(330,92).pos(330,91).
neg(331,78).pos(331,51).pos(331,110).
neg(332,118).pos(332,1).pos(332,59).
neg(333,47).neg(333,10).pos(333,74).
neg(334,105).neg(334,98).pos(334,23).
neg(335,53).neg(335,33).neg(335,8).
neg(336,16).pos(336,4).pos(336,13).
neg(337,75).neg(337,25).neg(337,21).
neg(338,48).neg(338,17).pos(338,36).
pos(339,6).pos(339,11).pos(339,98).
neg(340,112).neg(340,80).pos(340,120).
neg(341,33).neg(341,32).pos(341,38).
neg(342,111).neg(342,34).pos(342,41).
neg(343,47).neg(343,20).pos(343,93).
pos(344,1).pos(344,64).pos(344,70).
neg(345,33).pos(345,23).pos(345,85).
neg(346,69).pos(346,4).pos(346,7).
neg(347,79).pos(347,112).pos(347,119).
neg(348,60).pos(348,11).pos(348,103).
neg(349,118).pos(349,12).pos(349,38).
neg(350,107).pos(350,48).pos(350,83).
neg(351,80).pos(351,40).pos(351,69).
neg(352,48).neg(352,28).pos(352,113).
neg(353,115).neg(353,102).pos(353,30).
neg(354,81).neg(354,41).pos(354,118).
neg(355,4).pos(355,30).pos(355,44).
neg(356,104).neg(356,44).neg(356,30).
neg(357,91).pos(357,23).pos(357,53).
neg(358,58).neg(358,2).pos(358,82).
neg(359,95).neg(359,82).pos(359,51).
neg(360,85).neg(360,53).pos(360,71).
neg(361,31).pos(361,4).pos(361,51).
neg(362,56).neg(362,41).pos(362,17).
neg(363,74).pos(363,62).pos(363,89).
pos(364,98).pos(364,99).pos(364,112).
neg(365,115).neg(365,8).pos(365,65).
neg(366,85).neg(366,57).pos(366,66).
neg(367,117).neg(367,34).pos(367,44).
neg(368,113).neg(368,45).pos(368,87).
neg(369,68).pos(369,50).pos(369,53).
neg(370,28).pos(370,18).pos(370,88).
neg(371,120).pos(371,7).pos(371,68).
pos(372,30).pos(372,39).pos(372,70).
neg(373,17).pos(373,47).pos(373,50).
neg(374,90).neg(374,8).pos(374,79).
pos(375,11).pos(375,16).pos(375,90).
neg(376,57).neg(376,40).pos(376,74).
neg(377,35).pos(377,17).pos(377,100).
neg(378,54).pos(378,34).pos(378,120).
neg(379,31).neg(379,25).pos(379,13).
neg(380,97).pos(380,44).pos(380,49).
neg(381,63).neg(381,23).neg(381,17).
neg(382,20).pos(382,27).pos(382,35).
neg(383,83).neg(383,67).pos(383,117).
neg(384,98).neg(384,18).neg(384,12).
neg(385,18).pos(385,30).pos(385,108).
neg(386,56).pos(386,28).pos(386,85).
neg(387,80).pos(387,88).pos(387,99).
neg(388,104).neg(388,80).pos(388,108).
pos(389,10).pos(389,35).pos(389,78).
neg(390,87).neg(390,15).pos(390,64).
neg(391,111).pos(391,4).pos(391,79).
neg(392,77).neg(392,49).pos(392,101).
neg(393,118).neg(393,56).neg(393,15).
neg(394,77).neg(394,48).pos(394,60).
pos(395,14).pos(395,18).pos(395,101).
neg(396,90).neg(396,12).pos(396,98).
neg(397,71).neg(397,70).pos(397,66).
neg(398,107).neg(398,16).pos(398,98).
neg(399,76).neg(399,59).pos(399,45).
neg(400,120).neg(400,11).pos(400,21).
neg(401,43).neg(401,7).pos(401,8).
neg(402,108).neg(402,61).pos(402,106).
neg(403,112).neg(403,100).neg(403,45).
neg(404,67).neg(404,35).neg(404,10).
neg(405,111).neg(405,83).neg(405,70).
neg(406,119).pos(406,67).pos(406,101).
pos(407,5).pos(407,56).pos(407,82).
neg(408,51).neg(408,20).pos(408,2).
neg(409,14).pos(409,19).pos(409,24).
neg(410,67).pos(410,12).pos(410,37).
neg(411,42).pos(411,57).pos(411,63).
pos(412,7).pos(412,14).pos(412,70).
neg(413,83).pos(413,14).pos(413,57).
neg(414,86).neg(414,79).neg(414,30).
neg(415,22).pos(415,38).pos(415,98).
neg(416,49).pos(416,13).pos(416,109).
neg(417,39).neg(417,27).pos(417,57).
neg(418,34).neg(418,33).neg(418,14).
neg(419,93).neg(419,31).pos(419,112).
neg(420,42).pos(420,92).pos(420,116).
neg(421,114).neg(421,61).pos(421,82).
neg(422,98).neg(422,57).neg(422,17).
neg(423,48).neg(423,34).pos(423,19).
pos(424,41).pos(424,67).pos(424,71).
neg(425,32).pos(425,57).pos(425,120).
neg(426,74).neg(426,47).pos(426,86).
neg(427,58).pos(427,90).pos(427,91).
neg(428,52).neg(428,44).pos(428,26).
pos(429,74).pos(429,84).pos(429,93).
neg(430,82).neg(430,39).pos(430,109).
neg(431,99).pos(431,35).pos(431,53).
neg(432,110).pos(432,29).pos(432,64).
neg(433,109).pos(433,43).pos(433,100).
neg(434,104).neg(434,102).neg(434,19).
neg(435,104).neg(435,11).neg(435,8).
neg(436,78).neg(436,24).pos(436,21).
pos(437,4).pos(437,27).pos(437,83).
neg(438,57).pos(438,90).pos(438,108).
neg(439,20).pos(439,77).pos(439,114).
neg(440,42).neg(440,1).pos(440,78).
neg(441,7).pos(441,75).pos(441,115).
neg(442,41).neg(442,16).pos(442,69).
neg(443,83).pos(443,6).pos(443,71).
neg(444,49).pos(444,13).pos(444,16).
neg(445,37).pos(445,90).pos(445,107).
pos(446,5).pos(446,39).pos(446,118).
neg(447,58).pos(447,30).pos(447,94).
neg(448,65).neg(448,55).pos(448,14).
neg(449,68).neg(449,6).pos(449,18).
neg(450,77).neg(450,46).pos(450,11).
neg(451,62).neg(451,52).pos(451,25).
neg(452,108).neg(452,41).pos(452,79).
neg(453,118).neg(453,112).neg(453,10).
neg(454,95).neg(454,19).pos(454,81).
neg(455,115).neg(455,99).neg(455,26).
neg(456,114).neg(456,96).pos(456,113).
neg(457,98).pos(457,91).pos(457,117).
neg(458,91).neg(458,44).neg(458,7).
neg(459,14).pos(459,102).pos(459,120).
neg(460,79).pos(460,11).pos(460,67).
neg(461,42).pos(461,84).pos(461,111).
pos(462,32).pos(462,39).pos(462,66).
neg(463,58).neg(463,50).pos(463,11).
neg(464,100).pos(464,89).pos(464,95).
neg(465,120).pos(465,57).pos(465,113).
neg(466,107).neg(466,17).pos(466,52).
neg(467,14).pos(467,46).pos(467,113).
pos(468,21).pos(468,60).pos(468,114).
neg(469,20).pos(469,78).pos(469,87).
neg(470,9).pos(470,13).pos(470,87).
neg(471,79).neg(471,39).pos(471,104).
neg(472,1).pos(472,10).pos(472,105).
neg(473,110).neg(473,106).neg(473,96).
pos(474,11).pos(474,96).pos(474,105).
neg(475,3).pos(475,54).pos(475,60).
neg(476,100).neg(476,87).neg(476,20).
neg(477,83).pos(477,42).pos(477,94).
neg(478,59).neg(478,5).pos(478,4).
neg(479,118).pos(479,80).pos(479,99).
neg(480,98).pos(480,46).pos(480,102).
pos(481,47).pos(481,62).pos(481,118).
pos(482,81).pos(482,93).pos(482,110).
neg(483,33).neg(483,3).pos(483,53).
neg(484,84).neg(484,49).pos(484,20).
neg(485,88).neg(485,69).neg(485,5).
neg(486,114).neg(486,108).neg(486,41).
neg(487,82).pos(487,54).pos(487,64).
neg(488,114).neg(488,12).pos(488,96).
neg(489,72).pos(489,9).pos(489,110).
pos(490,16).pos(490,71).pos(490,110).
neg(491,96).neg(491,8).pos(491,92).
neg(492,34).neg(492,2).pos(492,28).
neg(493,112).neg(493,98).pos(493,46).
neg(494,17).pos(494,1).pos(494,87).
neg(495,113).neg(495,93).pos(495,17).
neg(496,95).neg(496,66).pos(496,34).
neg(497,10).pos(497,26).pos(497,90).
neg(498,85).neg(498,54).pos(498,44).
neg(499,43).neg(499,41).pos(499,44).
neg(500,80).neg(500,59).pos(500,63).
neg(501,104).neg(501,102).neg(501,88).
neg(502,54).pos(502,70).pos(502,107).
pos(503,45).pos(503,53).pos(503,103).
neg(504,70).pos(504,19).pos(504,100).
