#const numOfAtoms = 120.
atoms(1..120).
clauses(1..480).
neg(1,103).neg(1,76).neg(1,68).
neg(63,97).pos(63,54).pos(63,113).
neg(64,88).neg(64,51).neg(64,11).
neg(65,75).pos(65,12).pos(65,101).
neg(66,119).neg(66,63).pos(66,56).
neg(67,7).pos(67,68).pos(67,118).
neg(68,35).neg(68,7).pos(68,67).
neg(69,71).neg(69,56).neg(69,23).
neg(70,32).pos(70,19).pos(70,105).
neg(71,116).neg(71,83).neg(71,20).
neg(72,92).neg(72,82).pos(72,50).
neg(73,114).neg(73,1).pos(73,115).
neg(74,104).neg(74,93).neg(74,55).
neg(75,95).neg(75,30).pos(75,41).
neg(76,26).pos(76,37).pos(76,111).
neg(77,83).neg(77,44).pos(77,18).
neg(78,64).pos(78,25).pos(78,29).
pos(79,9).pos(79,53).pos(79,87).
neg(80,61).pos(80,60).pos(80,80).
neg(81,63).neg(81,3).pos(81,39).
neg(82,68).pos(82,17).pos(82,106).
neg(83,7).pos(83,3).pos(83,98).
neg(84,114).pos(84,4).pos(84,24).
neg(85,114).neg(85,59).pos(85,4).
neg(86,60).pos(86,61).pos(86,79).
neg(87,117).pos(87,7).pos(87,31).
neg(88,28).pos(88,31).pos(88,41).
neg(89,87).neg(89,50).neg(89,38).
neg(90,119).neg(90,94).pos(90,52).
neg(91,14).pos(91,60).pos(91,111).
neg(92,107).pos(92,73).pos(92,104).
neg(93,82).pos(93,64).pos(93,95).
neg(94,99).pos(94,54).pos(94,97).
neg(95,46).pos(95,23).pos(95,24).
neg(96,97).pos(96,50).pos(96,86).
neg(97,21).neg(97,4).pos(97,118).
neg(98,82).pos(98,47).pos(98,54).
pos(99,50).pos(99,64).pos(99,119).
neg(100,35).pos(100,29).pos(100,51).
neg(101,99).pos(101,65).pos(101,88).
neg(102,14).pos(102,19).pos(102,57).
neg(103,13).pos(103,66).pos(103,106).
neg(104,20).pos(104,53).pos(104,63).
pos(105,50).pos(105,63).pos(105,102).
neg(106,15).pos(106,51).pos(106,52).
neg(107,34).neg(107,10).pos(107,18).
neg(108,120).neg(108,117).pos(108,36).
neg(109,94).pos(109,117).pos(109,120).
neg(110,100).neg(110,97).neg(110,24).
neg(111,73).pos(111,34).pos(111,55).
pos(112,11).pos(112,18).pos(112,31).
neg(113,86).pos(113,32).pos(113,97).
pos(114,45).pos(114,51).pos(114,95).
neg(115,21).pos(115,67).pos(115,93).
neg(116,116).pos(116,7).pos(116,109).
neg(117,81).neg(117,22).pos(117,108).
neg(118,43).neg(118,20).pos(118,46).
neg(119,106).neg(119,75).pos(119,13).
neg(120,67).neg(120,62).pos(120,82).
neg(121,114).pos(121,49).pos(121,98).
neg(122,115).neg(122,6).pos(122,87).
neg(123,101).neg(123,62).pos(123,92).
neg(124,102).neg(124,1).pos(124,33).
neg(125,103).neg(125,58).pos(125,13).
neg(126,90).pos(126,27).pos(126,99).
pos(127,13).pos(127,14).pos(127,87).
pos(128,7).pos(128,36).pos(128,62).
neg(129,105).neg(129,73).pos(129,50).
neg(130,47).pos(130,12).pos(130,36).
neg(131,80).pos(131,12).pos(131,38).
neg(132,1).pos(132,75).pos(132,76).
pos(133,1).pos(133,74).pos(133,85).
neg(134,26).neg(134,9).pos(134,1).
neg(135,67).pos(135,8).pos(135,71).
pos(136,73).pos(136,95).pos(136,110).
neg(137,68).neg(137,26).pos(137,64).
neg(138,75).neg(138,32).pos(138,36).
neg(139,40).pos(139,1).pos(139,87).
pos(140,3).pos(140,8).pos(140,47).
neg(141,59).pos(141,56).pos(141,73).
neg(142,12).neg(142,7).pos(142,118).
neg(143,87).neg(143,29).pos(143,6).
pos(144,56).pos(144,88).pos(144,99).
neg(145,89).neg(145,8).pos(145,86).
neg(146,118).neg(146,85).pos(146,52).
neg(147,114).pos(147,23).pos(147,71).
neg(148,59).pos(148,43).pos(148,73).
neg(149,83).neg(149,69).pos(149,44).
neg(150,26).neg(150,13).pos(150,109).
neg(151,70).pos(151,17).pos(151,69).
neg(152,37).pos(152,74).pos(152,115).
neg(153,54).neg(153,11).pos(153,8).
neg(154,60).neg(154,55).pos(154,77).
neg(155,96).pos(155,30).pos(155,94).
neg(156,86).neg(156,12).pos(156,77).
neg(157,73).neg(157,49).pos(157,79).
neg(158,25).pos(158,43).pos(158,67).
neg(159,52).pos(159,13).pos(159,55).
neg(160,56).pos(160,51).pos(160,78).
neg(161,28).pos(161,115).pos(161,118).
neg(162,17).pos(162,88).pos(162,105).
neg(163,104).neg(163,84).neg(163,31).
neg(164,39).pos(164,33).pos(164,84).
pos(165,3).pos(165,14).pos(165,118).
neg(166,51).neg(166,50).pos(166,21).
neg(167,74).neg(167,70).pos(167,82).
neg(168,95).neg(168,55).pos(168,99).
neg(169,7).pos(169,1).pos(169,22).
neg(170,96).neg(170,19).neg(170,10).
neg(171,90).neg(171,46).pos(171,63).
neg(172,28).pos(172,71).pos(172,106).
neg(173,69).pos(173,84).pos(173,104).
pos(174,39).pos(174,44).pos(174,45).
neg(175,99).neg(175,57).pos(175,120).
neg(176,36).neg(176,29).pos(176,110).
neg(177,27).neg(177,18).pos(177,99).
neg(178,66).pos(178,54).pos(178,69).
neg(179,73).pos(179,66).pos(179,74).
neg(180,111).neg(180,2).pos(180,32).
neg(181,68).neg(181,33).pos(181,112).
neg(182,34).neg(182,30).neg(182,11).
neg(183,46).pos(183,89).pos(183,116).
neg(184,24).pos(184,22).pos(184,58).
pos(185,24).pos(185,42).pos(185,118).
neg(186,84).pos(186,38).pos(186,102).
neg(187,117).neg(187,89).neg(187,32).
neg(188,28).pos(188,37).pos(188,119).
neg(189,86).neg(189,58).neg(189,38).
neg(190,76).neg(190,65).pos(190,7).
pos(191,6).pos(191,32).pos(191,90).
neg(192,59).pos(192,21).pos(192,97).
neg(193,120).pos(193,73).pos(193,93).
neg(194,116).neg(194,100).neg(194,81).
neg(195,52).pos(195,12).pos(195,41).
pos(196,88).pos(196,111).pos(196,115).
neg(197,85).pos(197,5).pos(197,76).
neg(198,58).pos(198,84).pos(198,117).
neg(199,32).pos(199,56).pos(199,75).
neg(200,102).neg(200,91).neg(200,18).
neg(201,93).neg(201,28).pos(201,21).
neg(202,93).pos(202,5).pos(202,118).
neg(203,110).neg(203,89).neg(203,35).
pos(204,41).pos(204,54).pos(204,76).
neg(205,62).neg(205,35).pos(205,75).
neg(206,24).pos(206,2).pos(206,119).
neg(207,74).neg(207,70).pos(207,51).
neg(208,66).neg(208,62).neg(208,27).
neg(209,115).pos(209,1).pos(209,26).
neg(210,118).pos(210,43).pos(210,87).
pos(211,54).pos(211,61).pos(211,102).
neg(212,40).neg(212,10).pos(212,26).
neg(213,100).neg(213,73).neg(213,70).
neg(214,98).pos(214,67).pos(214,104).
neg(215,101).neg(215,100).pos(215,113).
neg(216,119).pos(216,107).pos(216,114).
neg(217,104).neg(217,18).pos(217,72).
neg(218,97).neg(218,90).pos(218,70).
pos(219,100).pos(219,114).pos(219,119).
neg(220,72).pos(220,2).pos(220,16).
neg(221,102).neg(221,31).neg(221,28).
pos(222,42).pos(222,60).pos(222,119).
neg(223,20).pos(223,22).pos(223,117).
neg(224,89).neg(224,33).pos(224,120).
neg(225,94).pos(225,22).pos(225,107).
neg(226,2).pos(226,23).pos(226,48).
neg(227,91).neg(227,29).pos(227,46).
neg(228,6).pos(228,7).pos(228,75).
neg(229,94).neg(229,66).pos(229,22).
pos(230,2).pos(230,24).pos(230,103).
neg(231,24).pos(231,58).pos(231,118).
neg(232,97).pos(232,11).pos(232,99).
neg(233,85).neg(233,43).neg(233,30).
neg(234,10).pos(234,26).pos(234,71).
pos(235,31).pos(235,85).pos(235,93).
neg(236,70).pos(236,22).pos(236,74).
neg(237,6).pos(237,22).pos(237,55).
neg(238,115).neg(238,114).neg(238,67).
neg(239,53).neg(239,51).pos(239,40).
neg(240,116).neg(240,82).pos(240,32).
pos(241,15).pos(241,53).pos(241,115).
neg(242,83).pos(242,93).pos(242,114).
neg(243,87).neg(243,46).pos(243,31).
neg(244,53).pos(244,17).pos(244,72).
neg(245,106).neg(245,21).pos(245,111).
neg(246,82).neg(246,12).pos(246,11).
neg(247,76).neg(247,64).neg(247,24).
neg(248,57).pos(248,1).pos(248,67).
neg(249,28).pos(249,37).pos(249,88).
neg(250,114).neg(250,29).pos(250,19).
neg(251,115).pos(251,23).pos(251,105).
neg(252,89).neg(252,12).pos(252,63).
neg(253,104).neg(253,102).neg(253,78).
neg(254,44).neg(254,33).neg(254,28).
neg(255,56).neg(255,44).pos(255,11).
neg(256,101).neg(256,44).pos(256,58).
pos(257,86).pos(257,108).pos(257,111).
neg(258,115).neg(258,5).pos(258,117).
neg(259,117).neg(259,57).pos(259,8).
neg(260,105).neg(260,49).pos(260,80).
pos(261,34).pos(261,40).pos(261,101).
neg(262,83).neg(262,58).pos(262,104).
neg(263,79).neg(263,53).pos(263,51).
neg(264,80).neg(264,31).pos(264,19).
neg(265,20).neg(265,13).neg(265,7).
neg(266,91).neg(266,65).neg(266,61).
neg(267,65).neg(267,46).pos(267,97).
neg(268,111).pos(268,98).pos(268,119).
neg(269,96).neg(269,27).neg(269,25).
pos(270,24).pos(270,51).pos(270,85).
neg(271,106).neg(271,48).pos(271,102).
neg(272,94).neg(272,67).pos(272,69).
neg(273,102).pos(273,43).pos(273,67).
neg(274,79).neg(274,56).neg(274,40).
neg(275,86).neg(275,43).pos(275,47).
neg(276,77).neg(276,33).pos(276,115).
neg(277,37).pos(277,33).pos(277,106).
neg(278,58).pos(278,8).pos(278,93).
neg(279,97).pos(279,2).pos(279,114).
neg(280,76).neg(280,62).neg(280,29).
neg(281,51).pos(281,72).pos(281,100).
neg(282,87).neg(282,71).pos(282,94).
neg(283,68).pos(283,42).pos(283,46).
neg(284,43).pos(284,13).pos(284,110).
neg(285,104).neg(285,96).pos(285,116).
neg(286,84).neg(286,21).pos(286,119).
neg(287,118).pos(287,5).pos(287,93).
neg(288,48).pos(288,46).pos(288,65).
neg(289,48).pos(289,8).pos(289,43).
neg(290,60).pos(290,71).pos(290,104).
neg(291,92).neg(291,81).pos(291,2).
neg(292,100).neg(292,82).pos(292,40).
neg(293,59).pos(293,18).pos(293,99).
pos(294,9).pos(294,13).pos(294,29).
neg(295,64).neg(295,58).pos(295,33).
neg(296,109).neg(296,92).pos(296,11).
pos(297,38).pos(297,64).pos(297,66).
neg(298,74).pos(298,35).pos(298,111).
neg(299,85).neg(299,51).neg(299,6).
pos(300,37).pos(300,52).pos(300,54).
pos(301,45).pos(301,77).pos(301,110).
pos(302,54).pos(302,94).pos(302,107).
neg(303,44).neg(303,25).pos(303,19).
neg(304,37).pos(304,39).pos(304,100).
neg(305,67).neg(305,16).pos(305,78).
neg(306,32).neg(306,17).pos(306,7).
neg(307,78).pos(307,38).pos(307,39).
neg(308,32).pos(308,1).pos(308,48).
neg(309,97).pos(309,17).pos(309,27).
neg(310,31).pos(310,23).pos(310,72).
neg(311,68).pos(311,65).pos(311,79).
neg(312,119).neg(312,59).neg(312,13).
pos(313,20).pos(313,103).pos(313,117).
pos(314,39).pos(314,48).pos(314,50).
neg(315,23).pos(315,54).pos(315,71).
neg(316,113).pos(316,45).pos(316,100).
neg(317,86).neg(317,21).pos(317,96).
neg(318,115).pos(318,30).pos(318,120).
neg(319,117).neg(319,53).neg(319,7).
neg(320,108).neg(320,72).pos(320,112).
neg(321,120).neg(321,51).neg(321,37).
neg(322,49).neg(322,33).pos(322,52).
neg(323,79).neg(323,71).pos(323,82).
neg(324,67).pos(324,59).pos(324,70).
pos(325,7).pos(325,35).pos(325,84).
neg(326,47).pos(326,1).pos(326,19).
neg(327,114).neg(327,107).pos(327,46).
neg(328,33).pos(328,28).pos(328,85).
neg(329,43).neg(329,40).pos(329,2).
neg(330,81).neg(330,2).pos(330,112).
neg(331,85).pos(331,37).pos(331,76).
neg(332,62).neg(332,18).pos(332,102).
neg(333,83).neg(333,42).neg(333,32).
neg(334,66).neg(334,51).pos(334,77).
neg(335,97).neg(335,89).neg(335,44).
neg(336,105).neg(336,102).pos(336,82).
neg(337,21).pos(337,3).pos(337,10).
neg(338,85).pos(338,24).pos(338,49).
neg(339,85).neg(339,17).neg(339,9).
neg(340,112).neg(340,63).pos(340,53).
neg(341,118).neg(341,91).pos(341,113).
neg(342,118).neg(342,35).pos(342,57).
neg(343,106).neg(343,51).pos(343,1).
neg(344,57).pos(344,45).pos(344,69).
neg(345,60).neg(345,16).pos(345,82).
neg(346,44).pos(346,23).pos(346,78).
neg(347,25).neg(347,13).pos(347,9).
neg(348,52).neg(348,33).pos(348,13).
neg(349,88).neg(349,51).pos(349,46).
neg(350,71).neg(350,35).pos(350,87).
neg(351,27).neg(351,7).pos(351,10).
neg(352,119).neg(352,118).neg(352,62).
neg(353,57).pos(353,24).pos(353,115).
neg(354,111).neg(354,73).pos(354,86).
neg(355,81).pos(355,53).pos(355,88).
neg(356,69).neg(356,9).pos(356,24).
neg(357,88).pos(357,39).pos(357,104).
neg(358,31).pos(358,15).pos(358,72).
neg(359,33).neg(359,4).pos(359,50).
neg(360,1).pos(360,12).pos(360,47).
neg(361,19).neg(361,4).pos(361,56).
neg(362,89).neg(362,22).pos(362,25).
pos(363,17).pos(363,46).pos(363,75).
neg(364,79).pos(364,12).pos(364,106).
neg(365,83).neg(365,81).neg(365,48).
neg(366,80).pos(366,46).pos(366,62).
neg(367,77).neg(367,64).pos(367,111).
neg(368,68).neg(368,45).pos(368,115).
neg(369,37).neg(369,19).neg(369,11).
neg(370,13).pos(370,48).pos(370,89).
neg(371,77).neg(371,65).pos(371,12).
pos(372,16).pos(372,69).pos(372,91).
neg(373,115).pos(373,10).pos(373,13).
pos(374,6).pos(374,7).pos(374,40).
neg(375,108).pos(375,27).pos(375,79).
neg(376,104).neg(376,4).pos(376,115).
neg(377,5).pos(377,34).pos(377,85).
neg(378,61).pos(378,62).pos(378,96).
pos(379,19).pos(379,89).pos(379,103).
neg(380,83).neg(380,60).neg(380,50).
pos(381,29).pos(381,54).pos(381,88).
neg(382,120).neg(382,25).pos(382,17).
neg(383,27).pos(383,47).pos(383,97).
neg(384,55).neg(384,46).pos(384,42).
neg(385,106).pos(385,16).pos(385,18).
neg(386,117).pos(386,26).pos(386,101).
neg(387,101).neg(387,64).pos(387,40).
neg(388,117).neg(388,109).pos(388,67).
pos(389,58).pos(389,85).pos(389,107).
neg(390,58).pos(390,93).pos(390,119).
neg(391,95).pos(391,36).pos(391,104).
neg(392,93).neg(392,69).neg(392,33).
neg(393,120).pos(393,62).pos(393,67).
neg(394,107).neg(394,59).neg(394,25).
neg(395,109).neg(395,58).neg(395,11).
neg(396,99).pos(396,30).pos(396,39).
neg(397,102).pos(397,36).pos(397,64).
neg(398,88).neg(398,56).pos(398,91).
neg(399,32).pos(399,64).pos(399,75).
neg(400,33).pos(400,20).pos(400,75).
pos(401,42).pos(401,54).pos(401,78).
neg(402,102).pos(402,99).pos(402,100).
neg(403,17).pos(403,43).pos(403,77).
neg(404,113).pos(404,42).pos(404,63).
neg(405,109).pos(405,71).pos(405,90).
neg(406,120).neg(406,103).pos(406,49).
neg(407,52).pos(407,26).pos(407,112).
pos(408,17).pos(408,102).pos(408,119).
neg(409,27).pos(409,82).pos(409,119).
pos(410,9).pos(410,17).pos(410,90).
neg(411,34).neg(411,11).pos(411,28).
pos(412,11).pos(412,50).pos(412,112).
neg(413,98).neg(413,30).pos(413,18).
neg(414,74).pos(414,44).pos(414,117).
neg(415,106).neg(415,90).pos(415,48).
neg(416,94).pos(416,48).pos(416,104).
neg(417,113).pos(417,38).pos(417,46).
neg(418,10).pos(418,23).pos(418,55).
neg(419,93).neg(419,92).pos(419,29).
neg(420,82).neg(420,34).pos(420,112).
neg(421,46).neg(421,39).neg(421,14).
neg(422,66).pos(422,14).pos(422,32).
neg(423,105).neg(423,61).pos(423,80).
neg(424,92).neg(424,44).pos(424,61).
neg(425,36).pos(425,44).pos(425,58).
neg(426,90).neg(426,27).pos(426,100).
neg(427,94).pos(427,17).pos(427,110).
neg(428,44).neg(428,36).pos(428,109).
neg(429,114).neg(429,12).pos(429,85).
neg(430,90).neg(430,36).pos(430,7).
neg(431,91).neg(431,39).neg(431,36).
neg(432,3).pos(432,22).pos(432,82).
pos(433,26).pos(433,70).pos(433,85).
neg(434,113).pos(434,55).pos(434,72).
neg(435,71).neg(435,32).pos(435,74).
neg(436,30).pos(436,56).pos(436,58).
pos(437,21).pos(437,38).pos(437,90).
neg(438,119).neg(438,105).pos(438,75).
neg(439,83).neg(439,73).pos(439,100).
neg(440,50).neg(440,22).pos(440,48).
neg(441,93).neg(441,38).pos(441,78).
pos(442,41).pos(442,106).pos(442,117).
neg(443,109).pos(443,25).pos(443,116).
neg(444,92).neg(444,41).pos(444,15).
neg(445,92).neg(445,52).neg(445,25).
neg(446,108).neg(446,16).neg(446,1).
pos(447,59).pos(447,96).pos(447,117).
neg(448,21).pos(448,59).pos(448,77).
pos(449,8).pos(449,61).pos(449,93).
neg(450,98).neg(450,50).neg(450,40).
neg(451,18).neg(451,11).pos(451,77).
neg(452,116).neg(452,48).pos(452,33).
neg(453,92).pos(453,77).pos(453,87).
neg(454,83).neg(454,40).neg(454,21).
neg(455,65).neg(455,61).neg(455,59).
neg(456,83).neg(456,58).pos(456,74).
neg(457,79).neg(457,48).neg(457,11).
neg(458,15).pos(458,4).pos(458,113).
neg(459,114).neg(459,31).pos(459,4).
neg(460,105).neg(460,60).neg(460,37).
neg(461,46).pos(461,16).pos(461,120).
neg(462,97).neg(462,80).pos(462,81).
neg(463,38).neg(463,31).pos(463,111).
neg(464,118).neg(464,75).pos(464,46).
neg(465,20).pos(465,54).pos(465,72).
neg(466,107).neg(466,61).neg(466,23).
neg(467,108).neg(467,23).pos(467,114).
neg(468,73).neg(468,9).pos(468,51).
neg(469,102).neg(469,62).neg(469,26).
neg(470,48).pos(470,52).pos(470,86).
neg(471,84).neg(471,51).pos(471,61).
neg(472,24).pos(472,31).pos(472,86).
neg(473,104).neg(473,25).pos(473,110).
neg(474,34).pos(474,29).pos(474,82).
neg(475,108).pos(475,90).pos(475,101).
neg(476,109).pos(476,20).pos(476,32).
neg(477,89).pos(477,8).pos(477,98).
neg(478,66).neg(478,25).pos(478,101).
neg(479,83).pos(479,28).pos(479,86).
neg(480,101).neg(480,4).pos(480,16).
