#const numOfAtoms = 60.
atoms(1..60).
clauses(1..240).
neg(1,55).neg(1,10).pos(1,11).
neg(162,14).neg(162,41).pos(162,37).
neg(163,18).pos(163,54).neg(163,27).
pos(164,40).pos(164,15).neg(164,42).
neg(165,5).pos(165,27).neg(165,33).
neg(166,36).pos(166,29).pos(166,27).
pos(167,23).pos(167,22).neg(167,5).
pos(168,48).neg(168,6).pos(168,28).
neg(169,50).pos(169,53).neg(169,27).
neg(170,37).pos(170,16).neg(170,25).
neg(171,13).pos(171,43).pos(171,39).
neg(172,19).neg(172,24).neg(172,17).
pos(173,2).neg(173,4).pos(173,54).
pos(174,56).neg(174,11).pos(174,33).
neg(175,10).neg(175,59).neg(175,32).
pos(176,20).neg(176,31).neg(176,52).
neg(177,9).pos(177,19).pos(177,46).
pos(178,35).neg(178,53).neg(178,14).
pos(179,56).pos(179,36).pos(179,57).
neg(180,34).pos(180,58).pos(180,38).
neg(181,17).neg(181,38).neg(181,49).
pos(182,35).neg(182,22).pos(182,27).
neg(183,57).pos(183,44).neg(183,13).
pos(184,43).neg(184,57).pos(184,39).
neg(185,18).neg(185,7).pos(185,52).
pos(186,23).pos(186,38).pos(186,55).
pos(187,8).neg(187,31).neg(187,43).
pos(188,56).pos(188,35).pos(188,20).
pos(189,5).neg(189,20).neg(189,47).
neg(190,55).pos(190,31).neg(190,44).
neg(191,28).pos(191,10).pos(191,30).
neg(192,52).pos(192,45).pos(192,53).
pos(193,1).pos(193,4).pos(193,47).
neg(194,39).pos(194,21).pos(194,54).
pos(195,29).neg(195,3).neg(195,8).
neg(196,13).neg(196,19).pos(196,21).
pos(197,8).neg(197,40).neg(197,6).
pos(198,43).pos(198,48).pos(198,21).
pos(199,18).neg(199,1).pos(199,16).
neg(200,60).pos(200,58).neg(200,2).
neg(201,35).pos(201,28).neg(201,14).
pos(202,29).pos(202,9).neg(202,35).
pos(203,58).pos(203,7).pos(203,34).
neg(204,36).pos(204,21).neg(204,22).
neg(205,46).pos(205,40).neg(205,34).
neg(206,40).neg(206,50).pos(206,37).
neg(207,2).pos(207,19).pos(207,47).
neg(208,15).neg(208,14).pos(208,37).
neg(209,9).pos(209,55).pos(209,36).
neg(210,42).pos(210,46).pos(210,20).
pos(211,19).pos(211,50).pos(211,12).
neg(212,3).neg(212,28).neg(212,22).
pos(213,24).pos(213,28).pos(213,21).
pos(214,49).neg(214,28).pos(214,12).
pos(215,14).pos(215,39).pos(215,55).
neg(216,57).pos(216,19).pos(216,33).
pos(217,14).pos(217,35).pos(217,22).
pos(218,54).neg(218,24).pos(218,41).
pos(219,46).pos(219,49).pos(219,56).
neg(220,29).pos(220,37).pos(220,31).
pos(221,46).neg(221,21).neg(221,9).
neg(222,2).neg(222,43).neg(222,25).
neg(223,59).neg(223,36).pos(223,48).
pos(224,51).neg(224,60).neg(224,38).
pos(225,55).pos(225,14).neg(225,1).
pos(226,51).pos(226,5).pos(226,20).
neg(227,32).pos(227,57).neg(227,48).
neg(228,4).neg(228,14).pos(228,43).
pos(229,16).pos(229,3).pos(229,31).
pos(230,20).neg(230,60).pos(230,53).
neg(231,41).pos(231,5).neg(231,10).
neg(232,28).neg(232,6).neg(232,21).
pos(233,21).pos(233,5).neg(233,15).
pos(234,37).neg(234,5).neg(234,47).
neg(235,2).neg(235,43).pos(235,45).
neg(236,23).neg(236,32).pos(236,7).
pos(237,52).pos(237,40).pos(237,36).
neg(238,17).pos(238,54).pos(238,39).
pos(239,51).neg(239,20).neg(239,16).
pos(240,40).pos(240,11).pos(240,8).
